Tweet,Subject_of_tweet,Emotion
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,1
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,1
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,1
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,1
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,1
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,1
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,1
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,1
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,1
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,1
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,1
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,1
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,1
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,1
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,1
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,1
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,1
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,1
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,1
Again? RT @mention Line at the Apple store is insane.. #sxsw,,0
attending @mention iPad design headaches #sxsw {link},iPad,0
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,0
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,1
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,1
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,1
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,1
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,1
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,1
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,1
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,1
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,1
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,0
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,1
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,1
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,1
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,1
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,0
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,1
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,1
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,1
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,1
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,1
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,1
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,1
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,1
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,1
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,1
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,1
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,1
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,1
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,1
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,1
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,1
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,1
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,1
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,1
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,1
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,1
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,1
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,1
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,1
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,1
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,1
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,1
The Apple #SXSW store still has iPad 2's and short lines.,iPad,1
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,1
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,1
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,1
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,0
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,1
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,0
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,1
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,1
This is a #WINNING picture #android #google #sxsw {link},Android,1
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,0
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,1
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,1
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,0
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,1
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,1
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,1
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,1
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,1
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,1
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,1
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,1
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,1
"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,1
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,1
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,1
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,1
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,0
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,1
I meant I also wish I  at #SXSW #dyac stupid iPhone!,iPhone,0
Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,1
picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,1
Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Google,1
marketing and sales GENIUS: {link} #Apple #SXSW,Apple,1
"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,1
The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,1
"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",iPad or iPhone App,0
the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,1
Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,1
Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Apple,0
Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Apple,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,iPad,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,1
ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Apple,1
ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Apple,1
ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,0
"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,1
"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Apple,1
"At #SXSW, Apple schools the marketing experts {link}",Apple,1
"At #SXSW, Apple schools the marketing experts {link} via @mention",Apple,1
"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,1
"At #SXSW, Apple schools the marketing experts | CNET - {link}",Apple,1
"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,1
ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ @mention there's still time :),Apple,1
&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,Apple,0
Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Apple,1
Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,iPad,1
Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Apple,1
Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Apple,1
Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Apple,1
iPad news apps 'so last year' at #SXSW {link},iPad or iPhone App,0
10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},iPad or iPhone App,1
Now there are 150 million mobile google maps users @mention #sxsw,Other Google product or service,1
And a few are Android too RT @mention 10 New Mobile Apps IÛªll Be Using atåÊ#SXSW  {link},Android App,1
"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",iPad or iPhone App,1
Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,1
Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,iPhone,0
ÛÏ@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,0
"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,1
"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Apple,1
"ÛÏ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWÛ",Google,1
knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,iPad,1
overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,iPhone,0
"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Apple,1
First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,,1
Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,iPad,1
If ur not at the #google #aclu 80's party....u should be! #sxsw,Google,1
I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,iPad,1
Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,1
Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,iPad,1
they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,Android,0
".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy #gamestorming #sxsw",Apple,0
Trying to balance the power of power needs on iPhone vs iPad at #sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.,iPad,0
My iPhone battery at 100%. #winning at #SXSW,iPhone,1
My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce,iPhone,0
this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw,Apple,1
This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention,Apple,1
Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,iPad,1
ÛÏ@mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;  @mention,iPad,0
IPad 2 is better..they have had time to improve #sxsw,iPad,1
{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,iPad or iPhone App,1
Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW,Google,0
Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,Google,1
impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,iPad,1
ÛÏ@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2Û :),iPad,1
Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link},Apple,1
Nice find by RSQ's @mention {link} #sxsw #iPad #app,iPad or iPhone App,1
&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,,1
"Exciting, canÛªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}",Apple,1
"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw",iPad or iPhone App,1
Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw,Google,1
"iPad 2 is coming out at #SXSW, guess Apple's pretty desperate to give it attention.",Apple,0
"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",iPad or iPhone App,1
Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw,iPad,1
Shipments daily - follow @mention #AppleATXdt 4 updates RT @mention Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW,,0
Four more days! #ipad #sxsw #weekend #battlela,iPad,1
IPhone is dead. Find me on the secret batphone #sxsw.,iPhone,0
Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. #google #sxsw #lxh,Other Google product or service,1
Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. #tapworthy #sxsw,iPad,1
Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  #sxsw,iPad,1
Lovin the digital! @mention band sings into iPhone &amp; plays guitar app as fans record vids on iPad2s #CNN Digital #cnngrill #sxsw #sxswi,,1
Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention,iPad,0
We really DO need another big social network right now - thanks! #SXSW #Google {link},Other Google product or service,1
In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw,Apple,0
Jeez guys dunno about an Apple pop-up over a Gold's Gym. Do u realize how un-Jobs-aesthetic that is? #SXSW #Apple,Apple,0
"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple",Apple,1
"Before It Even Begins, #Apple Wins #SXSW {link} by @mention",Apple,1
"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius",Apple,1
"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link}",Apple,1
"Before it even begins, Apple wins #SXSW {link}",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link}",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link} on @mention",Apple,1
"Before It Even Begins, Apple Wins #SXSW {link} via @mention",Apple,1
"Before It Even Begins, Apple WinsåÊ#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,1
"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw",Apple,1
"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",Apple,1
"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW",Apple,1
"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",Apple,1
"Before It Even Begins, Apple WinsåÊSXSW {link} #apple #sxsw",Apple,1
"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",Apple,1
"Before It Even Begins, Apple WinsåÊSXSW {link} via @mention #apple #sxsw",Apple,1
"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",Apple,1
Badgeless event! Free Drinks! ÛÏ@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÌÁo #sxswÛ,Google,1
"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}",iPhone,1
Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw,iPad,1
"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",iPad,1
#SXSW has fantastic schedule app for iphone! Bummer I am still crackberry!,iPad or iPhone App,1
"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}",iPad,1
One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},Google,1
I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,Google,1
"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.",iPad,1
I need to find a better #SXSW stream to follow. The inane iPad 2 tweets are surely not what SouthBy is about,iPad,0
Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link},,1
"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",Google,1
Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link},Other Google product or service,1
#Apple To Follow Its Customers To #SXSW - Forbes - {link} - Alcoholics call this Û÷enabling.Ûª The rest of us call it genius.,Apple,1
Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,1
Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home,Android App,1
Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,iPad or iPhone App,1
Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},iPad,1
Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW,iPad,1
Person in front of me just took a picture with his new iPad #sxsw,iPad,1
Marketing Genius: Apple opens pop up store outside of #SXSW {link},Apple,1
ÛÏ@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)Û #Google #Circles #social,Other Google product or service,1
"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw",iPad,1
"Austin is getting full, and #SXSW is underway.  I can tell because my iPhone is an intermittent brick. #crowded",iPhone,0
Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),Google,1
"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}",iPad or iPhone App,1
"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW",iPad,1
"OMG...I'm going down to #SXSW With: MacBook Pro, iPad, iPhone4, iPod, and a Galaxy Tab... #TechGeek",iPad,1
I have my golden tickets f 4sq party Day after the real party #Redbullbpm with Felix da Housecat playing on iPad! #SXSW  {link},,1
"GSD&amp;M Google #sxsw party with @mention is blowing my mind. So much amazing food, drink, music, &amp; photo booth fun!",,1
#SXSW the google authenticator app for mobile devices is a step ahead...,Other Google product or service,1
.@mention Google Circles will be the first real alternative to Facebook #sxsw,Other Google product or service,1
ÛÏ@mention Google now lets you block sites you can't stand {link} How about #sxsw blocking that looks like what I need,Google,1
Length of Google penalty based on severity of breach of webmaster guidelines. i.e.white text on white bgr might get 30 day pen. #sxsw #qagb,,0
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 
It'll never beat myspace.",Other Google product or service,0
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention  bigger than gaga",Other Google product or service,1
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ. Super interesting...",Google,1
"ÛÏ@mention Google to Launch New Social Network Called Circles, Today? {link} #sxswÛ Applause for a new privacy model attempt",,1
.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW  | RT @mention,Google,1
Future of Google: Contextual discovery. Location + context helps us go deeper than ever. Searches without search @mention #sxsw,Google,1
"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV",iPad or iPhone App,1
"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV Fascinating!",iPad or iPhone App,1
CNNMoney: Got a craving? #SXSW minds created an app for that - Foodspotting {link} #iPhone #apps,,1
"iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line. #austin #apple #sxsw #winning",iPad,1
"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",Google,1
"I may not have invites to all the &quot;cool&quot; #sxsw #sxswi parties, but I do have two iPhone chargers in my pocket, so you'll be happy to see me!",,1
I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!,iPad,1
